advertiser,election,topic,spend_week,spend_month,spend
BETA ACTION PAC,REGION-4-GOV,Abortion,2024_10/15-10/21,2024_10,9.1388
OMICRON FUND,REGION-4-GOV,Abortion,2024_10/01-10/06,2024_10,2030.1144
IOTA CITIZENS PAC,REGION-2-SEN,Climate & Energy,2024_09/24-09/30,2024_09,216083.4073
EPSILON GROUP PAC,REGION-1-GOV,Gun Policy,2024_09/17-09/23,2024_09,
ZETA FORWARD FUND,REGION-4-GOV,Economy & Labor,2024_11/12-11/18,2024_11,4.5521
EPSILON GROUP PAC,REGION-2-SEN,Economy & Labor,2024_09/10-09/16,2024_09,538.0472
GAMMA VOTERS FUND,NATIONAL-PRES,Criminal Justice,2024_10/07-10/13,2024_10,132489.5587
ETA PROGRESS PAC,REGION-2-SEN,Gun Policy,2024_10/22-10/28,2024_10,843.5691
IOTA CITIZENS PAC,REGION-1-GOV,Healthcare,2024_10/22-10/28,2024_10,2.5
ETA PROGRESS PAC,NATIONAL-PRES,Abortion,2024_10/07-10/13,2024_10,1201.8263
KAPPA FORWARD GROUP,NATIONAL-PRES,Abortion,2024_10/01-10/06,2024_10,73159.952
SIGMA FORWARD FUND,REGION-3-HSE,Abortion,2024_10/22-10/28,2024_10,
OMICRON FUND,REGION-1-GOV,Healthcare,2024_09/03-09/09,2024_09,15.9375
XI PROGRESS COMMITTEE,REGION-4-GOV,Climate & Energy,2024_10/15-10/21,2024_10,19.0935
UPSILON ACTION PAC,NATIONAL-PRES,Healthcare,2024_09/03-09/09,2024_09,1996.4563
NU COALITION,REGION-2-SEN,Gun Policy,2024_11/12-11/18,2024_11,2.5
XI PROGRESS COMMITTEE,REGION-2-SEN,Immigration,2024_11/05-11/11,2024_11,132.8566
ETA PROGRESS PAC,REGION-4-GOV,Education,2024_09/17-09/23,2024_09,201944.4647
RHO VOTERS PAC,NATIONAL-PRES,Abortion,2024_11/12-11/18,2024_11,1560.0541
KAPPA FORWARD GROUP,REGION-3-HSE,Immigration,2024_09/24-09/30,2024_09,630.7066
EPSILON GROUP PAC,REGION-1-GOV,Education,2024_10/07-10/13,2024_10,16918.4363
ZETA FORWARD FUND,REGION-4-GOV,Abortion,2024_10/07-10/13,2024_10,3156.4953
RHO VOTERS PAC,NATIONAL-PRES,Economy & Labor,2024_11/05-11/11,2024_11,883.1329
THETA ACTION COMMITTEE,REGION-1-GOV,Criminal Justice,2024_10/29-11/04,2024_11,223.2026
UPSILON ACTION PAC,REGION-4-GOV,Climate & Energy,2024_10/22-10/28,2024_10,86.6764
SIGMA FORWARD FUND,REGION-3-HSE,Gun Policy,2024_10/15-10/21,2024_10,156.9534
MU ACTION PAC,NATIONAL-PRES,Abortion,2024_09/03-09/09,2024_09,
GAMMA VOTERS FUND,REGION-3-HSE,Education,2024_11/12-11/18,2024_11,
KAPPA FORWARD GROUP,REGION-1-GOV,Healthcare,2024_11/05-11/11,2024_11,87.4688
SIGMA FORWARD FUND,REGION-2-SEN,Criminal Justice,2024_10/29-11/04,2024_11,106029.0689
EPSILON GROUP PAC,REGION-1-GOV,Abortion,2024_09/10-09/16,2024_09,990.4623
OMICRON FUND,REGION-3-HSE,Criminal Justice,2024_09/03-09/09,2024_09,
ETA PROGRESS PAC,REGION-1-GOV,Economy & Labor,2024_11/05-11/11,2024_11,81008.1686
RHO VOTERS PAC,REGION-4-GOV,Gun Policy,2024_10/07-10/13,2024_10,26935.2665
SIGMA FORWARD FUND,REGION-1-GOV,Immigration,2024_10/15-10/21,2024_10,5466.723
XI PROGRESS COMMITTEE,REGION-1-GOV,Criminal Justice,2024_09/10-09/16,2024_09,1711.1508
UPSILON ACTION PAC,NATIONAL-PRES,Healthcare,2024_11/12-11/18,2024_11,7357.7243
EPSILON GROUP PAC,REGION-1-GOV,Abortion,2024_10/22-10/28,2024_10,
GAMMA VOTERS FUND,REGION-4-GOV,Climate & Energy,2024_11/12-11/18,2024_11,29780.7543
DELTA COALITION,REGION-2-SEN,Healthcare,2024_09/03-09/09,2024_09,247.3703
OMICRON FUND,NATIONAL-PRES,Abortion,2024_10/22-10/28,2024_10,1885.1126
EPSILON GROUP PAC,REGION-2-SEN,Criminal Justice,2024_11/12-11/18,2024_11,2111.2788
PI ACTION GROUP,REGION-4-GOV,Climate & Energy,2024_10/15-10/21,2024_10,25839.4655
KAPPA FORWARD GROUP,REGION-3-HSE,Gun Policy,2024_10/15-10/21,2024_10,644.8733
TAU COMMITTEE,NATIONAL-PRES,Abortion,2024_11/12-11/18,2024_11,11384.7233
BETA ACTION PAC,REGION-2-SEN,Healthcare,2024_10/01-10/06,2024_10,1470.9926
OMICRON FUND,REGION-1-GOV,Immigration,2024_09/03-09/09,2024_09,153.1958
RHO VOTERS PAC,REGION-2-SEN,Immigration,2024_11/05-11/11,2024_11,67874.3365
DELTA COALITION,NATIONAL-PRES,Climate & Energy,2024_09/17-09/23,2024_09,591.2891
ETA PROGRESS PAC,REGION-4-GOV,Climate & Energy,2024_10/07-10/13,2024_10,
EPSILON GROUP PAC,REGION-3-HSE,Immigration,2024_09/10-09/16,2024_09,1478.9649
OMICRON FUND,REGION-1-GOV,Abortion,2024_09/17-09/23,2024_09,22.3155
TAU COMMITTEE,REGION-3-HSE,Criminal Justice,2024_10/07-10/13,2024_10,215.9722
DELTA COALITION,REGION-3-HSE,Immigration,2024_09/10-09/16,2024_09,76186.1055
RHO VOTERS PAC,REGION-3-HSE,Climate & Energy,2024_10/29-11/04,2024_11,411.0802
XI PROGRESS COMMITTEE,REGION-3-HSE,Healthcare,2024_10/22-10/28,2024_10,381.9591
RHO VOTERS PAC,REGION-1-GOV,Healthcare,2024_11/05-11/11,2024_11,31029.4007
SIGMA FORWARD FUND,REGION-4-GOV,Immigration,2024_10/22-10/28,2024_10,166.844
RHO VOTERS PAC,REGION-2-SEN,Economy & Labor,2024_09/24-09/30,2024_09,17646.0009
RHO VOTERS PAC,REGION-3-HSE,Education,2024_11/05-11/11,2024_11,6746.5598
SIGMA FORWARD FUND,REGION-4-GOV,Healthcare,2024_10/15-10/21,2024_10,840.523
DELTA COALITION,REGION-2-SEN,Education,2024_10/07-10/13,2024_10,76503.846
UPSILON ACTION PAC,REGION-1-GOV,Criminal Justice,2024_10/15-10/21,2024_10,3088.9378
ZETA FORWARD FUND,REGION-2-SEN,Immigration,2024_09/03-09/09,2024_09,950.29
MU ACTION PAC,REGION-2-SEN,Criminal Justice,2024_09/10-09/16,2024_09,9762.5373
OMICRON FUND,NATIONAL-PRES,Abortion,2024_10/07-10/13,2024_10,38.9656
TAU COMMITTEE,REGION-2-SEN,Economy & Labor,2024_11/12-11/18,2024_11,2870.1741
PI ACTION GROUP,NATIONAL-PRES,Economy & Labor,2024_09/17-09/23,2024_09,4982.1717
ALPHA COMMITTEE,NATIONAL-PRES,Immigration,2024_10/01-10/06,2024_10,299.7464
ETA PROGRESS PAC,REGION-1-GOV,Criminal Justice,2024_10/07-10/13,2024_10,944.9715
NU COALITION,REGION-4-GOV,Climate & Energy,2024_09/17-09/23,2024_09,566.1055
SIGMA FORWARD FUND,NATIONAL-PRES,Abortion,2024_09/10-09/16,2024_09,4281.3059
EPSILON GROUP PAC,REGION-4-GOV,Education,2024_10/07-10/13,2024_10,
UPSILON ACTION PAC,NATIONAL-PRES,Criminal Justice,2024_09/24-09/30,2024_09,715.6841
NU COALITION,REGION-2-SEN,Economy & Labor,2024_10/22-10/28,2024_10,4174.315
BETA ACTION PAC,NATIONAL-PRES,Gun Policy,2024_11/05-11/11,2024_11,643.2354
XI PROGRESS COMMITTEE,REGION-2-SEN,Abortion,2024_09/03-09/09,2024_09,3368.6484
BETA ACTION PAC,REGION-1-GOV,Immigration,2024_09/24-09/30,2024_09,1974.2645
NU COALITION,REGION-4-GOV,Immigration,2024_09/03-09/09,2024_09,8.7087
ZETA FORWARD FUND,REGION-3-HSE,Climate & Energy,2024_10/15-10/21,2024_10,18046.5797
PI ACTION GROUP,REGION-3-HSE,Criminal Justice,2024_10/29-11/04,2024_11,3216.0212
ZETA FORWARD FUND,REGION-1-GOV,Gun Policy,2024_10/15-10/21,2024_10,917.4916
SIGMA FORWARD FUND,REGION-3-HSE,Gun Policy,2024_11/05-11/11,2024_11,82.3871
OMICRON FUND,NATIONAL-PRES,Immigration,2024_10/22-10/28,2024_10,48.4036
THETA ACTION COMMITTEE,REGION-1-GOV,Immigration,2024_10/01-10/06,2024_10,77.2624
LAMBDA POLICY FUND,REGION-3-HSE,Education,2024_09/10-09/16,2024_09,162.1266
THETA ACTION COMMITTEE,NATIONAL-PRES,Education,2024_10/22-10/28,2024_10,2.7252
DELTA COALITION,NATIONAL-PRES,Economy & Labor,2024_10/29-11/04,2024_11,174810.2501
GAMMA VOTERS FUND,NATIONAL-PRES,Abortion,2024_10/01-10/06,2024_10,
BETA ACTION PAC,REGION-4-GOV,Gun Policy,2024_10/29-11/04,2024_11,11933.1782
ALPHA COMMITTEE,NATIONAL-PRES,Education,2024_10/15-10/21,2024_10,283.2125
LAMBDA POLICY FUND,REGION-4-GOV,Gun Policy,2024_09/17-09/23,2024_09,679.5395
ALPHA COMMITTEE,NATIONAL-PRES,Gun Policy,2024_09/17-09/23,2024_09,
NU COALITION,NATIONAL-PRES,Climate & Energy,2024_10/29-11/04,2024_11,2669.6736
MU ACTION PAC,NATIONAL-PRES,Abortion,2024_09/03-09/09,2024_09,40386.8735
LAMBDA POLICY FUND,REGION-2-SEN,Education,2024_09/17-09/23,2024_09,469.8423
OMICRON FUND,REGION-2-SEN,Criminal Justice,2024_10/29-11/04,2024_11,131.3834
ALPHA COMMITTEE,REGION-2-SEN,Gun Policy,2024_10/15-10/21,2024_10,201607.1744
SIGMA FORWARD FUND,REGION-1-GOV,Climate & Energy,2024_11/12-11/18,2024_11,16663.1946
DELTA COALITION,REGION-1-GOV,Criminal Justice,2024_10/07-10/13,2024_10,44.1145
BETA ACTION PAC,REGION-2-SEN,Healthcare,2024_10/29-11/04,2024_11,
DELTA COALITION,REGION-2-SEN,Abortion,2024_09/03-09/09,2024_09,604.8357
RHO VOTERS PAC,REGION-4-GOV,Immigration,2024_10/07-10/13,2024_10,1910.2445
SIGMA FORWARD FUND,REGION-4-GOV,Education,2024_10/07-10/13,2024_10,
ZETA FORWARD FUND,REGION-1-GOV,Climate & Energy,2024_09/10-09/16,2024_09,5.9874
MU ACTION PAC,REGION-2-SEN,Economy & Labor,2024_10/07-10/13,2024_10,1705.1232
TAU COMMITTEE,NATIONAL-PRES,Healthcare,2024_10/01-10/06,2024_10,1418.0198
BETA ACTION PAC,REGION-1-GOV,Criminal Justice,2024_09/24-09/30,2024_09,7573.8084
ZETA FORWARD FUND,REGION-1-GOV,Gun Policy,2024_11/12-11/18,2024_11,412.1984
IOTA CITIZENS PAC,REGION-1-GOV,Criminal Justice,2024_10/01-10/06,2024_10,10048.6603
UPSILON ACTION PAC,REGION-4-GOV,Healthcare,2024_09/10-09/16,2024_09,127148.4248
UPSILON ACTION PAC,REGION-4-GOV,Healthcare,2024_10/15-10/21,2024_10,
BETA ACTION PAC,REGION-1-GOV,Immigration,2024_10/22-10/28,2024_10,57001.1612
ETA PROGRESS PAC,REGION-4-GOV,Immigration,2024_10/29-11/04,2024_11,29993.5388
RHO VOTERS PAC,REGION-4-GOV,Gun Policy,2024_10/29-11/04,2024_11,111.8278
RHO VOTERS PAC,REGION-1-GOV,Criminal Justice,2024_10/29-11/04,2024_11,646.6309
KAPPA FORWARD GROUP,NATIONAL-PRES,Healthcare,2024_10/15-10/21,2024_10,10378.3496
ALPHA COMMITTEE,REGION-2-SEN,Abortion,2024_11/05-11/11,2024_11,2968.3488
RHO VOTERS PAC,NATIONAL-PRES,Economy & Labor,2024_11/05-11/11,2024_11,473.8084
IOTA CITIZENS PAC,REGION-1-GOV,Climate & Energy,2024_11/05-11/11,2024_11,61.7766
RHO VOTERS PAC,REGION-4-GOV,Economy & Labor,2024_09/17-09/23,2024_09,3610.2435
TAU COMMITTEE,REGION-4-GOV,Criminal Justice,2024_10/01-10/06,2024_10,81.7282
TAU COMMITTEE,REGION-3-HSE,Gun Policy,2024_10/29-11/04,2024_11,236.0864
GAMMA VOTERS FUND,REGION-2-SEN,Healthcare,2024_09/24-09/30,2024_09,30827.5503
UPSILON ACTION PAC,REGION-2-SEN,Healthcare,2024_10/22-10/28,2024_10,416.7366
NU COALITION,REGION-3-HSE,Education,2024_11/12-11/18,2024_11,296.5401
EPSILON GROUP PAC,REGION-3-HSE,Education,2024_11/05-11/11,2024_11,1209.5441
NU COALITION,NATIONAL-PRES,Gun Policy,2024_11/05-11/11,2024_11,5450.9327
UPSILON ACTION PAC,REGION-1-GOV,Economy & Labor,2024_10/15-10/21,2024_10,15566.5357
UPSILON ACTION PAC,REGION-3-HSE,Abortion,2024_09/10-09/16,2024_09,
NU COALITION,NATIONAL-PRES,Criminal Justice,2024_11/05-11/11,2024_11,141.5165
OMICRON FUND,REGION-4-GOV,Climate & Energy,2024_10/07-10/13,2024_10,1103.4311
ZETA FORWARD FUND,REGION-4-GOV,Abortion,2024_10/29-11/04,2024_11,2009.0842
ZETA FORWARD FUND,NATIONAL-PRES,Economy & Labor,2024_09/03-09/09,2024_09,7.0149
EPSILON GROUP PAC,NATIONAL-PRES,Economy & Labor,2024_10/29-11/04,2024_11,719.1878
KAPPA FORWARD GROUP,NATIONAL-PRES,Immigration,2024_09/03-09/09,2024_09,36342.8595
BETA ACTION PAC,REGION-2-SEN,Gun Policy,2024_10/07-10/13,2024_10,11199.7422
MU ACTION PAC,REGION-2-SEN,Education,2024_10/01-10/06,2024_10,
ALPHA COMMITTEE,REGION-4-GOV,Economy & Labor,2024_09/24-09/30,2024_09,16.3916
UPSILON ACTION PAC,REGION-4-GOV,Immigration,2024_09/03-09/09,2024_09,9419.1159
UPSILON ACTION PAC,REGION-2-SEN,Immigration,2024_10/22-10/28,2024_10,250000
UPSILON ACTION PAC,REGION-3-HSE,Criminal Justice,2024_10/01-10/06,2024_10,164697.2921
BETA ACTION PAC,NATIONAL-PRES,Abortion,2024_09/10-09/16,2024_09,5986.739
SIGMA FORWARD FUND,REGION-1-GOV,Climate & Energy,2024_10/29-11/04,2024_11,69.3611
GAMMA VOTERS FUND,REGION-1-GOV,Healthcare,2024_11/05-11/11,2024_11,915.2774
DELTA COALITION,REGION-4-GOV,Abortion,2024_10/22-10/28,2024_10,36727.1321
OMICRON FUND,REGION-3-HSE,Economy & Labor,2024_11/05-11/11,2024_11,12695.9958
NU COALITION,REGION-3-HSE,Abortion,2024_11/05-11/11,2024_11,111701.671
PI ACTION GROUP,NATIONAL-PRES,Education,2024_11/05-11/11,2024_11,374.6367
PI ACTION GROUP,NATIONAL-PRES,Healthcare,2024_09/24-09/30,2024_09,1596.1269
EPSILON GROUP PAC,REGION-1-GOV,Economy & Labor,2024_09/24-09/30,2024_09,1087.8663
RHO VOTERS PAC,REGION-2-SEN,Education,2024_10/15-10/21,2024_10,3181.582
PI ACTION GROUP,REGION-4-GOV,Abortion,2024_10/29-11/04,2024_11,66.788
IOTA CITIZENS PAC,NATIONAL-PRES,Gun Policy,2024_10/01-10/06,2024_10,341.3519
RHO VOTERS PAC,REGION-2-SEN,Abortion,2024_10/15-10/21,2024_10,43.8606
MU ACTION PAC,REGION-4-GOV,Criminal Justice,2024_09/17-09/23,2024_09,
NU COALITION,NATIONAL-PRES,Climate & Energy,2024_10/15-10/21,2024_10,2129.8087
MU ACTION PAC,REGION-1-GOV,Abortion,2024_09/17-09/23,2024_09,4332.1868
MU ACTION PAC,REGION-3-HSE,Criminal Justice,2024_09/24-09/30,2024_09,6.6907
DELTA COALITION,REGION-4-GOV,Immigration,2024_11/12-11/18,2024_11,192.7842
GAMMA VOTERS FUND,NATIONAL-PRES,Healthcare,2024_10/07-10/13,2024_10,652.3176
GAMMA VOTERS FUND,REGION-4-GOV,Education,2024_10/22-10/28,2024_10,19.0068
IOTA CITIZENS PAC,REGION-3-HSE,Healthcare,2024_10/01-10/06,2024_10,250000
GAMMA VOTERS FUND,REGION-4-GOV,Education,2024_09/24-09/30,2024_09,
DELTA COALITION,NATIONAL-PRES,Economy & Labor,2024_10/22-10/28,2024_10,4325.5177
TAU COMMITTEE,REGION-3-HSE,Healthcare,2024_10/15-10/21,2024_10,
KAPPA FORWARD GROUP,REGION-3-HSE,Healthcare,2024_11/12-11/18,2024_11,13602.6471
ETA PROGRESS PAC,REGION-2-SEN,Abortion,2024_09/17-09/23,2024_09,240.7233
EPSILON GROUP PAC,REGION-2-SEN,Climate & Energy,2024_09/24-09/30,2024_09,
PI ACTION GROUP,REGION-2-SEN,Criminal Justice,2024_09/03-09/09,2024_09,493.7193
UPSILON ACTION PAC,REGION-3-HSE,Economy & Labor,2024_09/10-09/16,2024_09,2.5
NU COALITION,REGION-3-HSE,Immigration,2024_10/15-10/21,2024_10,1488.8979
DELTA COALITION,REGION-3-HSE,Abortion,2024_10/01-10/06,2024_10,947.9234
SIGMA FORWARD FUND,REGION-3-HSE,Gun Policy,2024_10/15-10/21,2024_10,14963.6101
RHO VOTERS PAC,REGION-4-GOV,Climate & Energy,2024_10/29-11/04,2024_11,377.5186
EPSILON GROUP PAC,REGION-3-HSE,Education,2024_09/10-09/16,2024_09,1575.9283
DELTA COALITION,REGION-3-HSE,Abortion,2024_10/07-10/13,2024_10,33.6746
EPSILON GROUP PAC,REGION-3-HSE,Immigration,2024_10/29-11/04,2024_11,33003.7271
GAMMA VOTERS FUND,REGION-1-GOV,Healthcare,2024_10/15-10/21,2024_10,538.4853
ALPHA COMMITTEE,REGION-3-HSE,Gun Policy,2024_11/05-11/11,2024_11,6968.0012
ALPHA COMMITTEE,REGION-1-GOV,Criminal Justice,2024_09/10-09/16,2024_09,38.0888
ALPHA COMMITTEE,REGION-3-HSE,Healthcare,2024_09/10-09/16,2024_09,50.2742
ETA PROGRESS PAC,NATIONAL-PRES,Economy & Labor,2024_10/22-10/28,2024_10,99907.0477
BETA ACTION PAC,REGION-4-GOV,Economy & Labor,2024_10/29-11/04,2024_11,32.3028
LAMBDA POLICY FUND,NATIONAL-PRES,Healthcare,2024_09/10-09/16,2024_09,2776.0013
BETA ACTION PAC,REGION-4-GOV,Education,2024_11/05-11/11,2024_11,
DELTA COALITION,REGION-1-GOV,Criminal Justice,2024_10/22-10/28,2024_10,10924.2557
MU ACTION PAC,REGION-4-GOV,Criminal Justice,2024_10/22-10/28,2024_10,3.695
MU ACTION PAC,REGION-2-SEN,Education,2024_10/01-10/06,2024_10,115.0024
EPSILON GROUP PAC,REGION-2-SEN,Gun Policy,2024_11/12-11/18,2024_11,958.0303
MU ACTION PAC,REGION-1-GOV,Abortion,2024_11/05-11/11,2024_11,739.9285
MU ACTION PAC,NATIONAL-PRES,Healthcare,2024_09/10-09/16,2024_09,83593.0315
UPSILON ACTION PAC,REGION-3-HSE,Climate & Energy,2024_11/05-11/11,2024_11,
EPSILON GROUP PAC,REGION-1-GOV,Healthcare,2024_10/29-11/04,2024_11,4175.4287
ZETA FORWARD FUND,NATIONAL-PRES,Gun Policy,2024_09/03-09/09,2024_09,229.0121
KAPPA FORWARD GROUP,REGION-3-HSE,Immigration,2024_10/22-10/28,2024_10,7.6365
EPSILON GROUP PAC,NATIONAL-PRES,Gun Policy,2024_09/03-09/09,2024_09,6287.1137
NU COALITION,REGION-4-GOV,Criminal Justice,2024_09/24-09/30,2024_09,137.8556
KAPPA FORWARD GROUP,REGION-4-GOV,Education,2024_10/01-10/06,2024_10,3326.7556
PI ACTION GROUP,REGION-2-SEN,Climate & Energy,2024_11/05-11/11,2024_11,4.2917
OMICRON FUND,REGION-3-HSE,Economy & Labor,2024_10/29-11/04,2024_11,1624.2704
EPSILON GROUP PAC,REGION-3-HSE,Gun Policy,2024_10/22-10/28,2024_10,11110.9916
RHO VOTERS PAC,REGION-2-SEN,Economy & Labor,2024_09/17-09/23,2024_09,213234.1702
ZETA FORWARD FUND,REGION-4-GOV,Healthcare,2024_11/05-11/11,2024_11,
EPSILON GROUP PAC,REGION-3-HSE,Abortion,2024_10/29-11/04,2024_11,5595.572
ALPHA COMMITTEE,NATIONAL-PRES,Climate & Energy,2024_10/22-10/28,2024_10,271.6426
ALPHA COMMITTEE,REGION-3-HSE,Immigration,2024_09/03-09/09,2024_09,4143.3988
KAPPA FORWARD GROUP,REGION-4-GOV,Education,2024_11/12-11/18,2024_11,11687.5554
IOTA CITIZENS PAC,REGION-2-SEN,Immigration,2024_09/17-09/23,2024_09,56785.1661
TAU COMMITTEE,NATIONAL-PRES,Immigration,2024_09/03-09/09,2024_09,3812.7001
KAPPA FORWARD GROUP,REGION-4-GOV,Gun Policy,2024_09/10-09/16,2024_09,1742.3283
OMICRON FUND,REGION-2-SEN,Education,2024_10/01-10/06,2024_10,104.7423
DELTA COALITION,REGION-1-GOV,Healthcare,2024_10/29-11/04,2024_11,
UPSILON ACTION PAC,REGION-2-SEN,Abortion,2024_09/10-09/16,2024_09,634.586
ETA PROGRESS PAC,REGION-2-SEN,Healthcare,2024_09/24-09/30,2024_09,100.4556
PI ACTION GROUP,REGION-3-HSE,Healthcare,2024_09/03-09/09,2024_09,86.7981
THETA ACTION COMMITTEE,REGION-3-HSE,Education,2024_10/22-10/28,2024_10,97.5806
OMICRON FUND,REGION-4-GOV,Immigration,2024_11/12-11/18,2024_11,1275.8928
OMICRON FUND,REGION-3-HSE,Climate & Energy,2024_09/10-09/16,2024_09,1452.8209
ALPHA COMMITTEE,REGION-3-HSE,Abortion,2024_09/03-09/09,2024_09,26.806
MU ACTION PAC,NATIONAL-PRES,Immigration,2024_11/05-11/11,2024_11,4374.4992
TAU COMMITTEE,REGION-1-GOV,Abortion,2024_09/10-09/16,2024_09,124194.1882
SIGMA FORWARD FUND,REGION-4-GOV,Abortion,2024_10/15-10/21,2024_10,1975.5005
SIGMA FORWARD FUND,NATIONAL-PRES,Climate & Energy,2024_10/29-11/04,2024_11,87.4816
ETA PROGRESS PAC,REGION-2-SEN,Abortion,2024_11/12-11/18,2024_11,73.6342
DELTA COALITION,REGION-4-GOV,Gun Policy,2024_09/17-09/23,2024_09,196.2359
LAMBDA POLICY FUND,REGION-3-HSE,Gun Policy,2024_09/10-09/16,2024_09,250000
LAMBDA POLICY FUND,REGION-3-HSE,Criminal Justice,2024_11/05-11/11,2024_11,6797.4577
SIGMA FORWARD FUND,REGION-4-GOV,Education,2024_09/10-09/16,2024_09,678.3215
PI ACTION GROUP,REGION-4-GOV,Abortion,2024_11/05-11/11,2024_11,125.1736
TAU COMMITTEE,REGION-2-SEN,Criminal Justice,2024_11/12-11/18,2024_11,184.5913
BETA ACTION PAC,REGION-4-GOV,Immigration,2024_10/15-10/21,2024_10,4792.1323
PI ACTION GROUP,REGION-4-GOV,Gun Policy,2024_09/03-09/09,2024_09,604.9352
ETA PROGRESS PAC,REGION-1-GOV,Climate & Energy,2024_11/05-11/11,2024_11,3856.6417
RHO VOTERS PAC,NATIONAL-PRES,Abortion,2024_09/03-09/09,2024_09,7.4162
LAMBDA POLICY FUND,REGION-3-HSE,Climate & Energy,2024_09/24-09/30,2024_09,3012.2682
TAU COMMITTEE,REGION-2-SEN,Economy & Labor,2024_09/17-09/23,2024_09,25410.8991
BETA ACTION PAC,REGION-2-SEN,Healthcare,2024_10/07-10/13,2024_10,
XI PROGRESS COMMITTEE,REGION-3-HSE,Climate & Energy,2024_09/10-09/16,2024_09,13022.2869
KAPPA FORWARD GROUP,REGION-3-HSE,Economy & Labor,2024_09/24-09/30,2024_09,18374.6665
EPSILON GROUP PAC,REGION-2-SEN,Healthcare,2024_11/12-11/18,2024_11,250000
ALPHA COMMITTEE,REGION-3-HSE,Healthcare,2024_10/22-10/28,2024_10,12826.5859
ETA PROGRESS PAC,REGION-2-SEN,Education,2024_11/05-11/11,2024_11,3019.8209
SIGMA FORWARD FUND,REGION-3-HSE,Economy & Labor,2024_09/10-09/16,2024_09,
OMICRON FUND,REGION-3-HSE,Economy & Labor,2024_11/05-11/11,2024_11,60289.6802
MU ACTION PAC,REGION-2-SEN,Gun Policy,2024_10/01-10/06,2024_10,24406.3375
ZETA FORWARD FUND,REGION-1-GOV,Healthcare,2024_10/01-10/06,2024_10,892.453
PI ACTION GROUP,REGION-1-GOV,Gun Policy,2024_10/22-10/28,2024_10,147.1681
ALPHA COMMITTEE,NATIONAL-PRES,Economy & Labor,2024_09/03-09/09,2024_09,38.9068
XI PROGRESS COMMITTEE,REGION-3-HSE,Criminal Justice,2024_10/07-10/13,2024_10,297.9288
UPSILON ACTION PAC,REGION-1-GOV,Gun Policy,2024_09/03-09/09,2024_09,74.1226
UPSILON ACTION PAC,REGION-1-GOV,Immigration,2024_09/17-09/23,2024_09,913.1821
THETA ACTION COMMITTEE,REGION-3-HSE,Healthcare,2024_10/22-10/28,2024_10,1444.3783
SIGMA FORWARD FUND,REGION-4-GOV,Criminal Justice,2024_10/07-10/13,2024_10,19.1736
ETA PROGRESS PAC,REGION-3-HSE,Abortion,2024_09/17-09/23,2024_09,247.6613
BETA ACTION PAC,REGION-4-GOV,Climate & Energy,2024_10/01-10/06,2024_10,140.1291
XI PROGRESS COMMITTEE,REGION-4-GOV,Climate & Energy,2024_09/17-09/23,2024_09,24.1445
IOTA CITIZENS PAC,NATIONAL-PRES,Education,2024_10/22-10/28,2024_10,11430.995
ZETA FORWARD FUND,NATIONAL-PRES,Criminal Justice,2024_09/03-09/09,2024_09,1541.4642
ALPHA COMMITTEE,REGION-3-HSE,Abortion,2024_09/24-09/30,2024_09,11771.8897
OMICRON FUND,REGION-3-HSE,Climate & Energy,2024_10/22-10/28,2024_10,63.1028
EPSILON GROUP PAC,REGION-3-HSE,Economy & Labor,2024_10/07-10/13,2024_10,58.3959
RHO VOTERS PAC,REGION-3-HSE,Economy & Labor,2024_10/15-10/21,2024_10,
BETA ACTION PAC,REGION-4-GOV,Gun Policy,2024_10/29-11/04,2024_11,86.9527
SIGMA FORWARD FUND,REGION-2-SEN,Education,2024_11/12-11/18,2024_11,135841.4055
NU COALITION,REGION-3-HSE,Criminal Justice,2024_10/01-10/06,2024_10,138.7892
XI PROGRESS COMMITTEE,REGION-4-GOV,Abortion,2024_10/29-11/04,2024_11,2890.025
RHO VOTERS PAC,REGION-3-HSE,Economy & Labor,2024_09/24-09/30,2024_09,140073.4785
UPSILON ACTION PAC,REGION-4-GOV,Healthcare,2024_11/12-11/18,2024_11,
THETA ACTION COMMITTEE,REGION-3-HSE,Abortion,2024_10/01-10/06,2024_10,9168.382
RHO VOTERS PAC,REGION-4-GOV,Abortion,2024_10/22-10/28,2024_10,452.9233
BETA ACTION PAC,REGION-1-GOV,Healthcare,2024_09/03-09/09,2024_09,4549.0903
ALPHA COMMITTEE,REGION-4-GOV,Economy & Labor,2024_10/01-10/06,2024_10,2.5
ZETA FORWARD FUND,REGION-3-HSE,Economy & Labor,2024_10/07-10/13,2024_10,425.6071
ZETA FORWARD FUND,NATIONAL-PRES,Education,2024_11/05-11/11,2024_11,1321.4684
GAMMA VOTERS FUND,REGION-2-SEN,Climate & Energy,2024_10/01-10/06,2024_10,6883.403
DELTA COALITION,REGION-3-HSE,Climate & Energy,2024_11/12-11/18,2024_11,9991.8311
UPSILON ACTION PAC,REGION-4-GOV,Gun Policy,2024_09/10-09/16,2024_09,457.4081
BETA ACTION PAC,REGION-1-GOV,Criminal Justice,2024_09/24-09/30,2024_09,1596.1849
TAU COMMITTEE,NATIONAL-PRES,Immigration,2024_09/10-09/16,2024_09,571.7165
DELTA COALITION,REGION-1-GOV,Gun Policy,2024_10/01-10/06,2024_10,1499.3504
PI ACTION GROUP,NATIONAL-PRES,Gun Policy,2024_11/05-11/11,2024_11,26.2467
